ground_note	 score_note
44.22	44
44.49	44
45.3	45
47.28	47
40.14	40
41.82	42
43.65	44
44.22	44
44.49	44
45.03	45
47.28	47
42.45	42
44.77	44
45.03	45
45.3	45
44.49	44
40.14	40
45.3	45
44.22	44
45.3	45
37.06	37
40.14	40
42.14	42
40.49	40
42.14	42
44.49	44
44.49	44
45.03	45
47.28	47
49.68	49
51.05	51
52.32	52
52.14	52
43.65	44
45.56	45
47.28	47
42.14	42
44.77	44
45.56	45
44.77	44
45.56	45
51.96	52
52.14	52
41.82	42
44.22	44
45.03	45
44.77	44
45.3	45
53.82	54
53.98	54
52.66	52
51.24	51
52.66	52
54.14	54
56.08	56
54.14	54
52.14	52
51.42	51
52.49	52
52.14	52
51.6	51
47.28	47
47.74	47
41.82	40
49.27	49
49.27	49
47.51	47
40.49	40
40.83	40
44.49	44
42.45	42
44.22	44
45.03	45
47.74	47
52.66	52
51.24	51
52.32	52
54.45	54
56.22	56
53.98	54
52.32	52
51.6	51
52.32	52
52.66	52
51.6	51
47.51	47
47.28	47
40.83	40
49.68	49
49.68	49
47.51	47
47.51	47
52.14	52
51.42	51
52.32	52
