wav_id	CRoS_of_ground_truth	CRoS_of_system	accuracy
308	0.972	0.972	100%
478	0.75	0.83	88.90%
364	0.19	0.167	97.60%
366	0.93	0.972	97.20%
407	0.674	0.652	95.70%
408	0.727	0.6	90.90%
410	0.895	0.816	89.50%
1075	0.976	0.905	95.20%
1087	0.952	0.857	97.60%
1100	1	0.9	90.00%
1101	0.417	0.306	94.40%
1150	1	0.926	100%
1155	0.684	0.605	100%
1156	0.947	0.763	94.70%
1197	0.881	0.881	100%
1307	0.429	0.357	92.90%
1311	0.119	0.071	88.10%
1325	0.98	0.9	100%
1344	0.476	0.452	95.20%
1201	1	0.829	85.40%
1204	0.966	0.949	91.50%
1205	0.857	0.786	92.90%
1209	1	0.963	100%
424	0.658	0.605	97.40%
1213	0.981	0.833	87.00%
1215	0.815	0.704	94.40%
1217	0.988	0.912	93.80%
1218	0.968	0.789	85.30%
1225	0.984	0.787	83.60%
1229	1	0.848	91.30%
average_accuracy	93.68%
