onset	offset	pitch
0.1	0.13	41.17
0.39	0.42	39.79
0.71	0.74	42.45
1.01	1.04	44.77
1.36	1.39	39.79
1.82	1.85	43.36
1.97	2.0	41.5
2.35	2.38	35.28
2.67	2.7	39.79
2.95	2.98	39.79
3.25	3.28	42.14
3.59	3.62	44.49
3.95	3.98	40.14
4.57	4.6	39.42
5.21	5.24	39.79
5.48	5.51	40.14
5.8	5.83	42.45
6.12	6.15	44.49
6.32	6.35	45.03
6.49	6.52	44.22
7.05	7.08	41.82
7.37	7.4	40.14
7.72	7.75	39.05
8.03	8.06	35.28
8.3	8.33	37.06
8.68	8.71	39.42
9.01	9.04	40.14
9.6	9.63	40.83
10.22	10.25	49.27
10.68	10.71	49.47
10.85	10.88	48.84
11.19	11.22	47.28
11.46	11.49	50.08
11.82	11.85	50.47
12.12	12.15	52.66
12.78	12.81	48.41
13.24	13.27	50.08
13.43	13.46	46.56
13.73	13.76	45.03
14.08	14.11	44.22
14.69	14.72	46.56
15.27	15.3	49.47
15.75	15.78	51.6
15.85	15.88	49.27
16.25	16.28	47.74
16.54	16.57	49.88
16.87	16.9	51.6
17.15	17.18	52.32
17.4	17.43	50.08
17.81	17.84	47.74
18.08	18.11	52.14
18.44	18.47	51.6
18.74	18.77	54.14
19.11	19.14	52.32
19.77	19.8	52.32
