onset	offset	pitch
3.52	3.55	46.0
4.13	4.16	46.0
4.64	4.67	53.0
5.23	5.26	52.0
5.81	5.84	55.0
6.36	6.39	55.0
6.94	6.97	53.0
8.13	8.16	50.0
8.67	8.7	50.0
9.23	9.26	49.0
9.83	9.86	49.0
10.45	10.48	47.0
11.01	11.04	48.0
11.54	11.57	46.0
12.72	12.75	52.0
13.31	13.34	53.0
13.84	13.87	50.0
14.4	14.43	50.0
15.04	15.07	49.0
15.55	15.58	49.0
16.16	16.19	47.0
17.33	17.36	53.0
17.87	17.9	53.0
18.42	18.45	50.0
19.0	19.03	50.0
19.56	19.59	49.0
20.11	20.14	49.0
20.7	20.73	48.0
21.88	21.91	46.0
22.43	22.46	46.0
22.93	22.96	53.0
23.51	23.54	52.0
24.06	24.09	55.0
24.59	24.62	55.0
25.15	25.18	53.0
26.28	26.31	50.0
26.86	26.89	51.0
27.37	27.4	49.0
28.0	28.03	49.0
28.51	28.54	48.0
29.22	29.25	48.0
29.72	29.75	46.0
