onset	offset	pitch
1.21	1.24	52.0
1.73	1.76	51.0
2.26	2.29	53.0
2.68	2.71	53.0
3.23	3.26	51.0
3.73	3.76	51.0
4.27	4.3	48.0
5.24	5.27	51.0
5.75	5.78	51.0
6.23	6.26	48.0
6.68	6.71	48.0
7.27	7.3	46.0
9.16	9.19	51.0
9.59	9.62	51.0
10.09	10.12	53.0
10.56	10.59	53.0
11.09	11.12	49.0
11.57	11.6	50.0
12.01	12.04	48.0
13.09	13.12	50.0
13.54	13.57	47.0
13.98	14.01	45.0
14.52	14.55	47.0
14.99	15.02	44.0
16.99	17.02	51.0
17.44	17.47	51.0
17.93	17.96	53.0
18.32	18.35	53.0
18.85	18.88	51.0
19.32	19.35	51.0
19.8	19.83	48.0
20.73	20.76	51.0
21.2	21.23	51.0
21.68	21.71	48.0
22.05	22.08	48.0
22.58	22.61	46.0
24.42	24.45	52.0
24.8	24.83	52.0
25.29	25.32	54.0
25.77	25.8	54.0
26.23	26.26	51.0
26.69	26.72	51.0
27.14	27.17	48.0
28.09	28.12	51.0
28.53	28.56	48.0
29.03	29.06	46.0
29.43	29.46	48.0
29.89	29.92	44.0
