onset	offset	pitch
2.95	2.98	61.0
3.55	3.58	58.0
4.01	4.04	58.0
5.17	5.2	59.0
5.73	5.76	56.0
6.27	6.3	56.0
7.39	7.42	54.0
7.93	7.96	56.0
8.5	8.53	58.0
9.08	9.11	59.0
9.65	9.68	61.0
10.2	10.23	61.0
10.72	10.75	61.0
11.88	11.91	61.0
12.33	12.36	58.0
12.9	12.93	58.0
13.47	13.5	58.0
14.02	14.05	59.0
14.54	14.57	56.0
15.15	15.18	56.0
16.39	16.42	54.0
16.92	16.95	58.0
17.52	17.55	61.0
18.07	18.1	61.0
18.6	18.63	58.0
19.16	19.19	58.0
19.73	19.76	58.0
20.85	20.88	56.0
21.42	21.45	56.0
21.95	21.98	56.0
22.5	22.53	56.0
23.07	23.1	56.0
23.57	23.6	58.0
24.09	24.12	59.0
25.17	25.2	58.0
25.84	25.87	58.0
26.27	26.3	58.0
26.81	26.84	58.0
27.35	27.38	58.0
27.9	27.93	59.0
28.41	28.44	61.0
29.52	29.55	61.0
30.05	30.08	58.0
30.61	30.64	58.0
31.62	31.65	59.0
32.15	32.18	56.0
32.7	32.73	56.0
33.7	33.73	54.0
34.2	34.23	58.0
34.79	34.82	61.0
35.26	35.29	61.0
35.89	35.92	58.0
36.43	36.46	58.0
36.9	36.93	58.0
