onset	offset	pitch
0.61	0.64	61.0
1.17	1.2	61.0
1.66	1.69	63.0
2.18	2.21	63.0
2.71	2.74	61.0
3.23	3.26	61.0
3.77	3.8	58.0
4.84	4.87	61.0
5.39	5.42	61.0
5.84	5.87	58.0
6.37	6.4	58.0
6.92	6.95	56.0
9.1	9.13	61.0
9.6	9.63	61.0
10.09	10.12	63.0
10.61	10.64	63.0
11.17	11.2	61.0
11.69	11.72	61.0
12.25	12.28	58.0
13.3	13.33	61.0
13.79	13.82	58.0
14.33	14.36	56.0
14.88	14.91	58.0
15.33	15.36	54.0
17.49	17.52	61.0
17.97	18.0	61.0
18.52	18.55	63.0
19.02	19.05	63.0
19.54	19.57	61.0
20.07	20.1	61.0
20.65	20.68	58.0
21.74	21.77	61.0
22.31	22.34	61.0
22.78	22.81	58.0
23.33	23.36	58.0
23.9	23.93	56.0
26.04	26.07	61.0
26.52	26.55	61.0
27.08	27.11	63.0
27.63	27.66	63.0
28.13	28.16	61.0
28.63	28.66	61.0
29.2	29.23	58.0
30.29	30.32	61.0
30.81	30.84	58.0
31.37	31.4	56.0
31.89	31.92	58.0
32.39	32.42	54.0
