onset	offset	pitch
0.99	1.02	52.0
1.62	1.65	51.0
2.21	2.24	59.0
2.83	2.86	59.0
3.47	3.5	61.0
4.05	4.08	61.0
4.71	4.74	59.0
5.93	5.96	57.0
6.59	6.62	57.0
7.14	7.17	56.0
7.8	7.83	56.0
8.44	8.47	54.0
9.07	9.1	54.0
9.63	9.66	52.0
10.91	10.94	59.0
11.55	11.58	58.0
12.12	12.15	56.0
12.73	12.76	56.0
13.29	13.32	56.0
13.86	13.89	55.0
14.49	14.52	53.0
15.7	15.73	58.0
16.28	16.31	59.0
16.89	16.92	56.0
17.45	17.48	56.0
18.12	18.15	56.0
18.74	18.77	55.0
19.35	19.38	53.0
20.66	20.69	52.0
21.25	21.28	52.0
21.86	21.89	58.0
22.42	22.45	58.0
23.05	23.08	60.0
23.62	23.65	60.0
24.28	24.31	58.0
25.51	25.54	56.0
26.14	26.17	56.0
26.68	26.71	55.0
27.28	27.31	55.0
27.91	27.94	53.0
28.62	28.65	54.0
29.2	29.23	51.0
