onset	offset	pitch
2.36	2.39	53.0
2.93	2.96	50.0
3.44	3.47	50.0
4.52	4.55	52.0
5.08	5.11	48.0
5.65	5.68	49.0
6.8	6.83	46.0
7.29	7.32	48.0
7.8	7.83	50.0
8.41	8.44	51.0
8.95	8.98	53.0
9.54	9.57	53.0
10.08	10.11	53.0
11.21	11.24	53.0
11.75	11.78	50.0
12.3	12.33	50.0
12.84	12.87	50.0
13.44	13.47	52.0
13.92	13.95	48.0
14.5	14.53	48.0
15.67	15.7	46.0
16.18	16.21	50.0
16.75	16.78	53.0
17.26	17.29	53.0
17.87	17.9	50.0
18.43	18.46	50.0
18.93	18.96	50.0
20.12	20.15	49.0
20.65	20.68	49.0
21.24	21.27	48.0
21.79	21.82	48.0
22.36	22.39	49.0
22.9	22.93	50.0
23.45	23.48	51.0
24.5	24.53	51.0
25.1	25.13	51.0
25.62	25.65	50.0
26.16	26.19	51.0
26.72	26.75	50.0
27.23	27.26	51.0
27.79	27.82	54.0
28.96	28.99	53.0
29.5	29.53	50.0
30.01	30.04	50.0
31.07	31.1	51.0
31.54	31.57	48.0
32.13	32.16	48.0
33.22	33.25	46.0
33.73	33.76	50.0
34.28	34.31	53.0
34.74	34.77	53.0
35.38	35.41	51.0
35.92	35.95	51.0
36.45	36.48	50.0
