onset	offset	pitch
2.56	2.59	65.0
3.02	3.05	63.0
3.41	3.44	63.0
4.26	4.29	64.0
4.76	4.79	61.0
5.13	5.16	61.0
5.99	6.02	59.0
6.42	6.45	61.0
6.8	6.83	63.0
7.24	7.27	64.0
7.63	7.66	66.0
8.15	8.18	66.0
8.52	8.55	66.0
9.42	9.45	66.0
9.85	9.88	63.0
10.19	10.22	63.0
10.65	10.68	63.0
11.11	11.14	64.0
11.56	11.59	61.0
11.97	12.0	61.0
12.91	12.94	59.0
13.26	13.29	63.0
13.77	13.8	66.0
14.14	14.17	66.0
14.6	14.63	63.0
15.02	15.05	63.0
15.41	15.44	63.0
16.34	16.37	60.0
16.75	16.78	61.0
17.18	17.21	61.0
17.57	17.6	61.0
18.04	18.07	61.0
18.44	18.47	63.0
18.89	18.92	64.0
19.7	19.73	63.0
20.1	20.13	64.0
20.48	20.51	62.0
20.89	20.92	64.0
21.27	21.3	63.0
21.71	21.74	64.0
22.02	22.05	66.0
22.87	22.9	67.0
23.3	23.33	63.0
23.71	23.74	63.0
24.48	24.51	64.0
24.88	24.91	61.0
25.29	25.32	61.0
26.13	26.16	59.0
26.44	26.47	63.0
26.89	26.92	66.0
27.29	27.32	63.0
27.75	27.78	60.0
28.19	28.22	63.0
28.61	28.64	59.0
