onset	offset	pitch
3.82	3.85	64.0
4.26	4.29	65.0
4.72	4.75	67.0
5.15	5.18	67.0
5.62	5.65	64.0
6.05	6.08	64.0
6.49	6.52	61.0
7.31	7.34	65.0
7.73	7.76	65.0
8.12	8.15	62.0
8.49	8.52	62.0
8.99	9.02	61.0
10.57	10.6	66.0
10.95	10.98	66.0
11.39	11.42	68.0
11.78	11.81	68.0
12.26	12.29	65.0
12.63	12.66	66.0
13.11	13.14	63.0
13.91	13.94	65.0
14.33	14.36	62.0
14.73	14.76	60.0
15.18	15.21	62.0
15.62	15.65	58.0
17.15	17.18	65.0
17.6	17.63	66.0
18.01	18.04	68.0
18.41	18.44	68.0
18.85	18.88	65.0
19.24	19.27	66.0
19.73	19.76	62.0
20.54	20.57	65.0
20.98	21.01	65.0
21.37	21.4	62.0
21.75	21.78	62.0
22.27	22.3	60.0
23.71	23.74	66.0
24.09	24.12	66.0
24.57	24.6	68.0
24.95	24.98	68.0
25.36	25.39	66.0
25.79	25.82	66.0
26.24	26.27	63.0
27.03	27.06	66.0
27.4	27.43	63.0
27.86	27.89	60.0
28.22	28.25	63.0
28.66	28.69	58.0
