onset	offset	pitch
0.9	0.93	56.0
1.35	1.38	57.0
1.78	1.81	64.0
2.25	2.28	64.0
2.68	2.71	65.0
3.08	3.11	66.0
3.57	3.6	64.0
4.48	4.51	61.0
4.89	4.92	62.0
5.31	5.34	60.0
5.78	5.81	61.0
6.21	6.24	58.0
6.68	6.71	58.0
7.05	7.08	57.0
8.0	8.03	64.0
8.44	8.47	64.0
8.82	8.85	62.0
9.25	9.28	62.0
9.65	9.68	61.0
10.1	10.13	60.0
10.55	10.58	59.0
11.46	11.49	63.0
11.89	11.92	64.0
12.32	12.35	61.0
12.78	12.81	61.0
13.16	13.19	60.0
13.61	13.64	60.0
14.08	14.11	58.0
14.99	15.02	57.0
15.44	15.47	56.0
15.86	15.89	63.0
16.32	16.35	63.0
16.8	16.83	65.0
17.25	17.28	65.0
17.67	17.7	63.0
18.54	18.57	61.0
18.99	19.02	61.0
19.41	19.44	60.0
19.87	19.9	60.0
20.3	20.33	58.0
20.77	20.8	58.0
21.11	21.14	57.0
